Modelo,Bootloader,Flash,Firmware,Hora,Fecha,Rev,Serie,Usuario
118-4719,1.03,1.0,1.04,12:21:12 PM,2/14/2019,B,5D,Produccion
118-4719,1.03,1.0,1.04,12:23:49 PM,2/14/2019,B,5E,Produccion
118-4719,1.03,1.0,1.04,12:27:53 PM,2/14/2019,B,5F,Produccion
118-4719,1.03,1.0,1.04,12:30:25 PM,2/14/2019,B,60,Produccion
118-4719,1.03,1.0,1.04,12:33:06 PM,2/14/2019,B,61,Produccion
118-4719,1.03,1.0,1.04,12:35:36 PM,2/14/2019,B,62,Produccion
118-4719,1.03,1.0,1.04,12:38:19 PM,2/14/2019,B,63,Produccion
118-4719,1.03,1.0,1.04,12:40:53 PM,2/14/2019,B,64,Produccion
118-4719,1.03,1.0,1.04,12:43:19 PM,2/14/2019,B,65,Produccion
118-4719,1.03,1.0,1.04,12:46:10 PM,2/14/2019,B,66,Produccion
118-4719,1.03,1.0,1.04,12:48:48 PM,2/14/2019,B,67,Produccion
118-4719,1.03,1.0,1.04,12:51:27 PM,2/14/2019,B,68,Produccion
118-4719,1.03,1.0,1.04,12:54:05 PM,2/14/2019,B,69,Produccion
118-4719,1.03,1.0,1.04,12:56:36 PM,2/14/2019,B,6A,Produccion
118-4719,1.03,1.0,1.04,12:59:16 PM,2/14/2019,B,6B,Produccion
118-4719,1.03,1.0,1.04,1:01:46 PM,2/14/2019,B,6C,Produccion
118-4719,1.03,1.0,1.04,1:04:12 PM,2/14/2019,B,6D,Produccion
118-4719,1.03,1.0,1.04,1:06:40 PM,2/14/2019,B,6E,Produccion
118-4719,1.03,1.0,1.04,1:09:29 PM,2/14/2019,B,6F,Produccion
118-4719,1.03,1.0,1.04,1:12:24 PM,2/14/2019,B,70,Produccion
118-4719,1.03,1.0,1.04,1:16:17 PM,2/14/2019,B,71,Produccion
118-4719,1.03,1.0,1.04,1:18:58 PM,2/14/2019,B,72,Produccion
118-4719,1.03,1.0,1.04,1:21:30 PM,2/14/2019,B,73,Produccion
118-4719,1.03,1.0,1.04,1:23:53 PM,2/14/2019,B,74,Produccion
118-4719,1.03,1.0,1.04,1:26:18 PM,2/14/2019,B,75,Produccion
118-4719,1.03,1.0,1.04,1:29:10 PM,2/14/2019,B,76,Produccion
118-4719,1.03,1.0,1.04,1:31:39 PM,2/14/2019,B,77,Produccion
118-4719,1.03,1.0,1.04,1:34:22 PM,2/14/2019,B,78,Produccion
118-4719,1.03,1.0,1.04,1:36:50 PM,2/14/2019,B,79,Produccion
118-4719,1.03,1.0,1.04,1:39:10 PM,2/14/2019,B,7A,Produccion
118-4719,1.03,1.0,1.04,1:41:33 PM,2/14/2019,B,7B,Produccion
118-4719,1.03,1.0,1.04,1:43:59 PM,2/14/2019,B,7C,Produccion
118-4719,1.03,1.0,1.04,1:46:21 PM,2/14/2019,B,7D,Produccion
118-4719,1.03,1.0,1.04,1:48:45 PM,2/14/2019,B,7E,Produccion
118-4719,1.03,1.0,1.04,1:51:20 PM,2/14/2019,B,7F,Produccion
118-4719,1.03,1.0,1.04,1:53:47 PM,2/14/2019,B,80,Produccion
118-4719,1.03,1.0,1.04,1:56:09 PM,2/14/2019,B,81,Produccion
118-4719,1.03,1.0,1.04,1:58:36 PM,2/14/2019,B,82,Produccion
118-4719,1.03,1.0,1.04,2:01:06 PM,2/14/2019,B,83,Produccion
118-4719,1.03,1.0,1.04,2:05:16 PM,2/14/2019,B,84,Produccion
118-4719,1.03,1.0,1.04,2:07:43 PM,2/14/2019,B,85,Produccion
118-4719,1.03,1.0,1.04,2:10:10 PM,2/14/2019,B,86,Produccion
118-4719,1.03,1.0,1.04,2:12:32 PM,2/14/2019,B,87,Produccion
118-4719,1.03,1.0,1.04,2:14:54 PM,2/14/2019,B,88,Produccion
118-4719,1.03,1.0,1.04,2:17:18 PM,2/14/2019,B,89,Produccion
118-4719,1.03,1.0,1.04,2:19:43 PM,2/14/2019,B,8A,Produccion
118-4719,1.03,1.0,1.04,2:22:35 PM,2/14/2019,B,8B,Produccion
118-4719,1.03,1.0,1.04,2:24:55 PM,2/14/2019,B,8C,Produccion
118-4719,1.03,1.0,1.04,2:27:20 PM,2/14/2019,B,8D,Produccion
118-4719,1.03,1.0,1.04,2:29:44 PM,2/14/2019,B,8E,Produccion
118-4719,1.03,1.0,1.04,2:32:08 PM,2/14/2019,B,8F,Produccion
118-4719,1.03,1.0,1.04,2:34:30 PM,2/14/2019,B,90,Produccion
118-4719,1.03,1.0,1.04,2:36:54 PM,2/14/2019,B,91,Produccion
118-4719,1.03,1.0,1.04,2:39:16 PM,2/14/2019,B,92,Produccion
118-4719,1.03,1.0,1.04,2:41:38 PM,2/14/2019,B,93,Produccion
118-4719,1.03,1.0,1.04,2:44:09 PM,2/14/2019,B,94,Produccion
118-4719,1.03,1.0,1.04,2:46:42 PM,2/14/2019,B,95,Produccion
118-4719,1.03,1.0,1.04,2:49:21 PM,2/14/2019,B,96,Produccion
118-4719,1.03,1.0,1.04,2:51:56 PM,2/14/2019,B,97,Produccion
118-4719,1.03,1.0,1.04,2:54:28 PM,2/14/2019,B,98,Produccion
118-4719,1.03,1.0,1.04,2:56:51 PM,2/14/2019,B,99,Produccion
118-4719,1.03,1.0,1.04,2:59:13 PM,2/14/2019,B,9A,Produccion
118-4719,1.03,1.0,1.04,3:01:33 PM,2/14/2019,B,9B,Produccion
118-4719,1.03,1.0,1.04,3:03:56 PM,2/14/2019,B,9C,Produccion
118-4719,1.03,1.0,1.04,3:06:45 PM,2/14/2019,B,9D,Produccion
118-4719,1.03,1.0,1.04,3:09:07 PM,2/14/2019,B,9E,Produccion
118-4719,1.03,1.0,1.04,3:11:41 PM,2/14/2019,B,9F,Produccion
118-4719,1.03,1.0,1.04,3:14:10 PM,2/14/2019,B,A0,Produccion
118-4719,1.03,1.0,1.04,3:16:34 PM,2/14/2019,B,A1,Produccion
118-4719,1.03,1.0,1.04,3:24:21 PM,2/14/2019,B,A2,Produccion
118-4719,1.03,1.0,1.04,3:26:42 PM,2/14/2019,B,A3,Produccion
118-4719,1.03,1.0,1.04,3:29:41 PM,2/14/2019,B,A4,Produccion
118-4719,1.03,1.0,1.04,3:32:10 PM,2/14/2019,B,A5,Produccion
118-4719,1.03,1.0,1.04,3:36:07 PM,2/14/2019,B,A6,Produccion
118-4719,1.03,1.0,1.04,3:39:08 PM,2/14/2019,B,A7,Produccion
118-4719,1.03,1.0,1.04,3:41:25 PM,2/14/2019,B,A8,Produccion
118-4719,1.03,1.0,1.04,3:43:47 PM,2/14/2019,B,A9,Produccion
118-4719,1.03,1.0,1.04,3:46:09 PM,2/14/2019,B,AA,Produccion
118-4719,1.03,1.0,1.04,3:48:32 PM,2/14/2019,B,AB,Produccion
